MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
TPE : Incident technique;TPE : Incident technique;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;j# +fct955 + si KO : reboot caisse / POUR TPE USB faire aussi avant reboot TPE : Touche F - Code 0273 - Appli ADS - Param Terminal - Caisse - Protocole 9 - USB - 115200 - Oui puis reboot TPE;P3;SYM0016; ; ;43529044 ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;50333394; 
TPE : erreur ecriture port serie;TPE : erreur ecriture port serie;TPE classique;Materiel ;Caisse;Materiel \ Caisse \ TPE classique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;AUTONOMIE UTILISATEUR;j# +fct955 si KO : reboot caisse, si toutes caisses impactees, verifier le portcom dans le c3config.E61 ET M3 PORT COM1  | Autre PORT COM5;P3;SYM0017;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50034476; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE classique \ reparation / Remplacement;50034476; 
TICKET RESTAURANT PAPIER NE PASSE PAS EN CAISSE;Ticket restaurant ne passe pas en caisse, lors du scan de celui-ci il ne se passe rien;Scanner;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Scanner;MATERIEL_CAISSE-FR;08 - Matériel défectueux;SERVICE UTILISATEUR;Reparamétrage du scanner en passant les feuilles avec les codes barres;P4;SYM0019; ; ; ; ; ; ;;VLP PROXI-FR;Encaissement \ Parametrage peripherique caisse \ Scanner;; 
TPE :  demande un code d'acces;TPE :  demande un code d'acces;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;MONETIQUE;j# +fct955 si KO;P3;SYM0021; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;50333394; 
CHARGEMENT CAISSE : Erreur Imprimante;Erreur chargement caisse - Erreur imprimante;Imprimante ticket;Materiel;Caisse;Materiel \ Caisse \ Imprimante ticket;MATERIEL_CAISSE-FR;08 - Matériel défectueux;IMPRIMANTE HORS TENSION;Verification de l'imprimante.;P4;SYM0022; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Imprimante ticket \ Reparation / Remplacement;50496738; 
COMPTEUR TICKET CAISSE NE S EST PAS REMIS A 0 AVEC LA CLOTURE;Le compteur de ticket n'a pas ete remis a 0 avec la cloture;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;SERVICE;Il faut indiquer au magasin que ce n'est pas un probleme et que le compteur sera remis a 0 à la prochaine cloture;P4;SYM0023; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50029386; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;50029386;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE SUR LE BUREAU : LORS DU CHARGEMENT ELLE REVIENT SUR LE BUREAU;Caisse revient sur le bureau lors du chargement long;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;08 - Matériel défectueux;MATERIEL;Reboot de la caisse si le problème persiste sauvegarde des bases et RAZ de la caisse puis chargement long;P3;SYM0024; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE SUR LE BUREAU : CHARGEMENG LONG A EFFECTUE;Caisse est sur le bureau avec ou sans lanceur;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Chargement long ou relance de session si nécessaire;P4;SYM0025;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LORS D'UN ENCAISSEMENT LA CAISSE REVIENT SUR LE BUREAU;La caisse etait en encaissement et elle est revenue sur le bureau;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;01 - Défaillance applicative;AUTONOMIE UTILISATEUR;Tenter un chargement long pour revenir sur l'encaissement. Si la caisse revient sur le bureau à la validation du ticket ou pendant le chargement il faut sauvegarder les bases et faire une RAZ manuelle.;P4;SYM0026;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CHEQUE KO;Les cheques ne passent pas.;Cheque;Monetique;Moyen de paiement ;Monetique \ Moyen de paiement \ Cheque;AXIS-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;A/R IMPrimante si KO prise des log et ouverture MCS WorldLine : prendre les dlog;P3;SYM0027;A/U : Oui; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
CHEQUE KO;Blocage cheque client (non approvisionne); ;Monetique;Infra banque;Monetique \ Moyen de paiement \ Cheque;INFRA_BANQUE-FR;05 - Demande de service;MONETIQUE;Prendre les logs pour creation MCS WorldLine;P3;SYM0028; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
DEMANDE L'IMPRESSION D'UN ETAT SUR VLP;Magasin demande d'imprimer un etat sur VLP (financier/statistique , marchandise etc);Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;05 - Demande de service;EDITION CLOTURE;Impression du document souhaité via VLP (états);P4;SYM0029; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;51154717;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TIROIR FERME LORS DU COMPTAGE OU PRELEVEMENT;Fermeture du tiroir en comptage;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;fleche bleue.;P4;SYM0030;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
OUBLI DE FAIRE LE DEPART LONG D UN CAISSIER;Oubli de faire un depart long;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Saisir le comptage + Vérification des FI;P3;SYM0031;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
ERREUR DE COMPTAGE CAISSE;Erreur comptage de caisse.;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Gestion tiroir;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Saisir le comptage + Vérification des FI;P4;SYM0032;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Gestion tiroir;49813768;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLCC : Absence Numero carte fidelite;"Erreur ""paiement comptant"" lors de l'appui sur ""credit client accorde.";Parametrage client;Encaissement;Visual credit client;Encaissement \ Visual credit client \ Parametrage client;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Verification presence carte fidelite. Le paiement comptant s'enclenche lors de l'ajout de carte fid si non presente dans la fiche compte client;P4;SYM0033;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=49766806; ; ;VLP PROXI-FR;Encaissement \ Visual credit client \ Parametrage client;49766806;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
ECRAN CAISSE TOURNE A L'ENVERS OU SUR LE COTE (LOGICIEL);L'ecran de la caisse est a l'envers ou tourne a 180degres;Ecran caissiere;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Ecran caissiere;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Aller dans le panneau de config , ouvrir le GMA Intel Driver , aller dans les paramètres avances pour desactiver la rotation;P4;SYM0034; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Parametrage peripherique caisse \ Ecran caissiere;51155052;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE EN MODE FORMATION;Caisse en mode formation. ;Gestion tiroir;Encaissement;Serveur caisse;Encaissement \ Chiffre d'affaire \ Ecart de CA;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Impression des ticket en mode formation sur l'iMP bureau et reprise en caisse avec les mdp. NB: utiliser Catre MANUEL MONEO pour les paiement CB.;P4;SYM0035; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
FIDELITE KO : Credit carte KO;La Cagnotte ne se creditent pas sur une caisse;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;STAC-FR;07 - Indéterminée;FID;"Verification si l'adresse stac.fr.carrefour.com répond un ""Hello Word""";P4;SYM0036; ; ; ; ; ; ; ;CLL PROXI-FR;Monetique \ Moyen de paiement \ Cagnotte fidelite;; 
FIDELITE KO : Pas de cagnotte;Absence de cagnotte fidelite elle ne se creditent pas sur toutes les caisses;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;STAC-FR;07 - Indéterminée;FID;"Verification si l'adresse stac.fr.carrefour.com répond un ""Hello Word"" / PB reseau";P1;SYM0037; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
FIDELITE KO : Promotions Catalogue KO;Promotions ne fonctionnent pas;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;SIEBEL FIDELITE-FR;07 - Indéterminée;FID;Vérification de la campagne sur https://www.carrefour.fr/catalogue - Prendre le nom de la campagne - Prendre le code EAN de l'article en anomalie et le coller au format TEXTE dans le dossier + Voire procédure portail enseigne ou FICHE SUPPORT;P4;SYM0038; ; ; ;Msg spé 5;http://sym-90065/encaissement/PRODIM/?q=contr%C3%B4le+campagne; ; ;SIEBEL FIDELITE-FR;Fidelite \ Fidelite \ Remise immediate;;FR IT CHAPSVISION N2 CLL PROXIMITE
FIDELITE KO : Annulation ticket avec cagnotte;Probleme d'annulation ticket a cause d'une cagnotte fidelite;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Pas possible.;P4;SYM0039;A/U : Oui; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
FIDELITE KO : Client bloque;"Carte fidelite en ""CLIENT BLOQUE"".";Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;CLL PROXI-FR;05 - Demande de service;FID;CSI pour verification de la carte + porteur. AFFECTATION du ticket dans bannette  FR METIER N2 CSI PROXIMITE + envoi mail et leur demmander de vérifier le Porteur + Carte puis cloturer le CARE;P4;SYM0041; ; ; ;MSGCSI; ; ; ;CLL PROXI-FR;Monetique \ Moyen de paiement \ Cagnotte fidelite;; 
FIDELITE KO : PME NON INIT UNE SEULE CAISSE;PME non initialise sur 1 caisse;Cagnotte fidelite;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;STAC-FR;01 - Défaillance applicative;MONETIQUE;"Resultat post fct955 ==> Verification des DNS (DNS primaire 10.55.32.118 ; DNS secondaire 10.48.241.1 ) Si KO  ==> Batch DNS.Bat Si KO ==> Escalade Wordline";P3;SYM0043; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;50333394; 
FIDELITE KO : PME NON INIT;PME non initialise sur toutes les caisses;Cagnotte fidelite;Monetique;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;AXIS-FR;01 - Défaillance applicative;MONETIQUE;"Verification des DNS(DNS primaire 10.55.32.118 ; DNS secondaire 10.48.241.1 )  Si KO ==> Batch DNS.Bat Si KO  ==> Escalade Wordline";P1;SYM0044; ; ; ; ; ; ;1;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;66402912; 
DEMANDE COMMENT REPRENDRE UN TICKET EN ATTENTE;Attente ticket : Reprise;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SERVICE UTILISATEUR;Oui, il faut cliquer sur le ticket en attente sur la caisse souhaitee.;P3;SYM0046; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
GLORY KO;Monnayeur GLORY en erreur; ;Caisse libre service;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;MATERIEL;deb/reb monnayeur + reboot sco.;P3;SYM0047; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=28834750; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;28834750; 
IMPRIMANTE CATALINA NE SORT PLUS DE BON;Imprimante catalina ne sort plus de ticket/bon; ;Fidelite;Materiel;Fidelite \ Materiel;CATALINA PROXIMITE-FR;08 - Matériel défectueux;CATALINA : Bon;Verifier les adressages IP  |  Regedit ==> Ordinateur\HKEY_LOCAL_MACHINE\SOFTWARE\Symag\VISUAL LEADER-EPOS\5.7\UniCastManager et changer l'adresse IP A.B.C.D le D (-1) fermerure ou bien reboot caisse pour prendre en compte les modifications | Inviter le magasin à contacter le 01 46 94 50 00 + Clôture dossier en HORS PERIMÉTRE;P4;SYM0048; ; ; ;Mse spé 6; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;51348913;Mail interne
HORS PERIMETRE TAPIS DE CAISSE ;Probleme de tapis de caisse, demande une intervention.;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE \ HORS PERIMETRE \ HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE;HORS PERIMETRE; Le gérant doit être redirigé vers son Conseiller de Franchise (pas son CSI).;P4;SYM0050; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
IDENTIFICATION IMPOSSIBLE EN CAISSE;Lorsque le caissier veut s'identifier il n'y arrive pas, la touche identification ne repond pas;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;01 - Défaillance applicative;Identification KO;Relancer l'encaissement;P3;SYM0051; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
IHM CAISSE EN BLEU ET NOIR SUITE A PLUSIEURS CHARGEMENT LONG OU RAPIDE;Ecran bleu et noir suite a plusieurs chargement long ou rapide sur la caisse;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;01 - Défaillance applicative; ;Il faut kill pcwin et faire un 9001. Si le serveur n'est pas joignable il faut récupérer le dossier RC (Dans le dossier base) d'une caisse qui n'a pas de problème et le mettre au même endroit sur la caisse en panne;P3;SYM0052; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LES MOTIFS POUR LES REMISES OU ABANDON TICKET NE SONT PAS VISIBLE SUR L IHM;La liste des motif pour un abandon ticket ou une remise ne sont plus visibles sur l'IHM caisse;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative; ;Il faut kill l'encaissement et faire un 9001 puis faire un chargement long;P3;SYM0053; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
IHM MANQUANT : IHM;Manque une partie de l'IHM;Probleme de chargement;Encaissement;Caisse bloquee;Encaissement \ Caisse bloquee \ Probleme de chargement;VLP PROXI-FR;01 - Défaillance applicative; ;Une relance de l'encaissement fait revenir les touches sur l'IHM. Une solution de contournement en faisant un départ avec la fonction peut être effectuée si le pavé numérique est accessible,;P3;SYM0061; ; ;60811947 ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;51309120;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LES TOUCHES SONT DECALEES SUR L'IHM CAISSE;Les touches sont decalees;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative; ;Relance de l'encaissement et reboot de la caisse si non concluant;P3;SYM0062; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Probleme de chargement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
INFRA KO : COUPURE ELECTRIQUE;Suite a une coupure de courant, pas de demarrage caisse / serveur;Coupure electrique;Encaissement;Caisse deconnecte;Encaissement \ Caisse deconnecte \ Coupure electrique;COUPURE ELECTRIQUE-FR;02 - Défaillance de l'infrastructure;INFRA;"Verification serveur : redemarrage au besoin si ko verification switch. Si caisse ne s'allume pas ==> Tester sur une autre prise ==> Si KO diriger le magasin vers son electricien (Perimetre gérant du magasin). Pensez à vérifier le flag ""modeautonome.flag"" dans la base caisse";P1;SYM0063; ; ; ;Msg spe 2; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Coupure electrique;; 
INFRA KO : Hors reseau;Toutes les caisses sont hors reseau (ping KO) et le serveur aussi;Materiel;Reseaux-Telecoms-Securite;LAN Switch;Reseaux-Telecoms-Securite \ LAN Switch \ Materiel;NETWORK-WW;02 - Défaillance de l'infrastructure;INFRA;Verification serveur : redemarrage au besoin si ko verification switch. S'assurer de la bonne remontee du CA des caisses en fonctionnement ==> ESC BANNETTE RESEAU;P1;SYM0064; ; ; ;Msg spe 2; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;25002307;FR IT SIC N1_N2 RESEAU
INFRA KO : DECONNEXION CAISSE (EN AUT);Deconnexion reseau sur toutes les caisses (ping OK, caisses en AUT);Coupure electrique non planifiee;Materiel Infrastructure;Serveur LNA;Materiel Serveur \ Serveur \ Coupure electrique non planifiee;MATERIEL_SERVEUR-FR;08 - Matériel défectueux;INFRA;"Verification serveur : redemarrage au besoin si ko verification switch. Fct 97 pour reconnecter les caisses. Pensez à vérifier le flag ""modeautonome.flag"" dans la base caisse";P1;SYM0065; ; ; ;Msg spe 2; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;;FR IT SIC N1_N2 RESEAU
CAISSE BLOQUE SUR LE DEPART LONG CAR SERVEUR HS;Caisse bloquee sur le depart fermeture car le serveur est HS.;Reseau;Encaissement;Caisse deconnecte;Encaissement \ Caisse en autonome \ Caisse deconnectee du reseau;INFRA_PROXIMITE-FR;02 - Défaillance de l'infrastructure;INFRA;Verification serveur : redemarrage au besoin si ko verification switch. S'assurer de la bonne remontee du CA des caisses en fonctionnement;P1;SYM0066; ; ; ;Msg spe 2; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;; 
MATERIEL KO : Douchette ne scan plus;douchette scanne mais il se passe rien sur l'ecran ;Douchette;Materiel;Caisse;Materiel \ Caisse \ Douchette;MATERIEL_CAISSE-FR;08 - Matériel défectueux;MATERIEL;deb/reb cable + opos (9032 ou choix periph / scan planche de param dispo sur portail enseigne crf /boite à outils si KO DI;P3;SYM0068; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Douchette \ reparation / Remplacement;; 
