Enseigne;sycron;anabel;adresse;cp;villes;telephone;serveur;caisse;Type caisse;Msge;NCR;DN;Trt sco
CITY\0025 LOMME REPUBLIQUE;25;7628;59 AVENUE de la Republique;59160;LOMME;33320925507;LV1;03K_WM3;M3;#REF!;;;
CITY\0029 ORLEANS;29;8910;1 RUE DU GRENIER A-SEL;45000;ORLEANS;33238620688;LV1;05K_WM3;M3;#REF!;;;
CITY\0030 MONACO GENETS;30;7275;1, AVENUE DES GENETS;98000;MONACO;37793300554;LV1;03K_WM3;M3;#REF!;;;
CITY\0032 LE BRUSC SIX FOURS PLAGE;32;7270;5, AVENUE DU MAIL;83140;LE BRUSC SIX FOURS PLAGE;33494341155;LV2;03K_WM3;M3;#REF!;;;
CITY\0039 GIVET REPUBLIQUE;39;8696;7, PLACE DE LA REPUBLIQUE;8600;GIVET;33324373065;LV1;02K_WM3;M3;#REF!;;;
CITY\0044 DIEPPE;44;7083;59, RUE DE LA BARRE;76200;DIEPPE;33235840409;LV1;05K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0050 NANCY SAINT GEORGES;50;8676;26, RUE SAINT GEORGES;54000;NANCY;;LV4;05K_WM3;M3;#REF!;;;
CITY\0051 HESDIN;51;8830;12 PLACE GARBE;62140;HESDIN;33321811734;LV2;02K_WM3;M3;#REF!;;;
CITY\0066 LORIENT NAYEL;66;7061;28, RUE AUGUSTE NAYEL;56100;LORIENT;33297808627;LV1;03K_WM3;M3;#REF!;;;
CITY\0071 PAU MERMOZ;71;5365;14, AVENUE JEAN MERMOZ;64000;PAU;33559324857;LV1;03K_WM3;M3;#REF!;;;
CITY\0075 HAUTMONT;75;7558;PLACE DU GENERAL DE GAULLE;59330;HAUTMONT;33327638585;LV1;02K_WM3;M3;#REF!;;;
CITY\0085 BIARRITZ - SARL SAVICE;85;7433;2, RUE DU CENTRE;64000;BIARRITZ;33559241801;LV3;07K_WI2;S2;#REF!;;;
CITY\0091 LEVALLOIS PERRET BARBUSSE;91;8925;10, HENRI BARBUSSE;92300;LEVALLOIS PERRET;33147374189;LV4;07K_WM3_3SCO-NCR_BENZ;M3;#REF!;NCR;;NCR
CITY\0092 CHINON;92;8907;20, PLACE DU GENERAL DE GAULLE;37500;CHINON;33247930063;LV1;03K_WM3;M3;#REF!;;;
CITY\0093 L ETANG LA VILLE;93;8917;2, ROUTE ST-GERMAIN - PLACE DE L'EGLISE;78620;L ETANG LA VILLE;33139587055;LV1;04K_WM3_1SCO-DN;M3;#REF!;;DN;DN
CITY\0094 SEVRES;94;7185;45, AVENUE DE L'EUROPE;92130;SEVRES;33146262339;LV1;05K_WM3;M3;#REF!;;;
CITY\0105 SEDAN GAMBETTA;105;7472;9, RUE GAMBETTA;8200;SEDAN;33324291678;LV1;02K_WM3;M3;#REF!;;;
CITY\0118 TINQUEUX;118;8722;PLACE DU COMMERCE;51430;TINQUEUX;33326040694;LV1;03K_WI2;S2;#REF!;;;
CITY\0125 CHERENG;125;7545;81, ROUTE NATIONALE;59152;CHERENG;;LV1;02K_WM3;M3;#REF!;;;
CITY\0131 SAINT JEAN DE LUZ-SARL AMATDIS;131;7447;87 RUE GAMBETTA;64500;SAINT JEAN DE LUZ;33559264646;LV2;02K_WI2_4SCO-NCR;S2;#REF!;NCR;;NCR
CITY\0140 LUC SUR MER;140;5159;RUE DE LA MER;14530;LUC SUR MER;33231973073;LV1;03K_WM3;M3;#REF!;;;
CITY\0141 TULLE;141;7295;11, RUE SERGENT LOVY;19000;TULLE;33555203841;LV2;03K_WI2;S2;#REF!;;;
CITY\0147 BOULOGNE POINT DU JOUR;147;7175;106 108 RUE DU POINT DU JOUR;92100;BOULOGNE;33146083316;LV1;07K_WM3_5SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0153 ETAPLES;153;8826;6, RUE DU PORT;62630;ETAPLES;33321942994;LV1;02K_WM3;M3;#REF!;;;
CITY\0154 VILLEPREUX;154;7158;ALLEE DE TOURAINE - C CIAL HAIE BERGERIE;78450;VILLEPREUX;33134623223;LV1;03K_WM3;M3;#REF!;;;
CITY\0156 CAEN CHEMIN VERT;156;5154;CENTRE COMMERCIAL CHEMIN VERT;14000;CAEN;33231245475;LV2;03K_WM3;M3;#REF!;;;
CITY\0166 NIMES LES HALLES;166;8637;4, RUE DES HALLES;30000;NIMES;33466360498;LV1;06K_WI2;S2;#REF!;;;
CITY\0168 VILLE D AVRAY;168;7188;46/48 RUE DE SEVRES;92410;VILLE D'AVRAY;33147095354;LV1;03K_WM3;M3;#REF!;;;
CITY\0169 PARIS 09 PIGALLE;169;7120;58 RUE DE PIGALLE;75009;PARIS;33142802300;LV1;04K_WM3;M3;#REF!;;;
CITY\0173 LATTES;173;7230;CC PLACE D'ARAGON;34970;LATTES;33467647670;LV2;04K_WM3;M3;#REF!;;;
CITY\0174 ANNECY STADE;174;5330;27, AVENUE DU STADE;74000;ANNECY;33971487465;LV1;03K_WI2;S2;#REF!;;;
CITY\0182 MONTPELLIER JUSTICE;182;7231;AVENUE JUSTICE DE CASTELNAU;34090;MONTPELLIER;33467635171;LV1;07K_WM3_4SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0186 PARIS CHAUVELOT;186;7128;19 RUE DE CHAUVELOT;75015;PARIS;33142504355;LV1;03K_WM3;M3;#REF!;;;
CITY\0222 RUEIL MALMAISON;222;7182;63, AVENUE DU 18 JUIN;92500;RUEIL MALMAISON;33147493059;LV1;04K_WM3;M3;#REF!;;;
CITY\0224 VILLERS SUR MER;224;5055;RUE MARECHAL LECLERC;14640;VILLERS SUR MER;33231140817;LV1;05K_WM3;M3;#REF!;;;
CITY\0238 PARIS 11 SEDAINE;238;7123;32, RUE DE SEDAINE;75011;PARIS;33143572651;LV2;03K_WI2_2SCO-NCR_BANS;S2;#REF!;NCR;;NCR
CITY\0249 SAINT LAURENT BLANGY;249;5040;4, RUE DU 8 MAI;62223;SAINT LAURENT BLANGY;33321247916;LV1;03K_WM3;M3;#REF!;;;
CITY\0252 QUIMPER BRADEN;252;7012;CENTRE COMMERCIAL DU BRADEN;29000;QUIMPER;33298515621;LV1;03K_WM3;M3;#REF!;;;
CITY\0261 MEUDON;261;7179;1, PLACE STALINGRAD;92360;MEUDON;33145341181;LV1;04K_WM3;M3;#REF!;;;
CITY\0265 RUEIL EMPEREUR;265;7184;153, route de l'empereur;92500;RUEIL MALMAISON;33157693674;LV1;04K_WM3_3SCO-DN;M3;#REF!;;DN;DN
CITY\0269 VILLENEUVE D'ASCQ;269;7529;PLACE VERDUN;59650;VILLENEUVE D'ASCQ;33320911602;KO;03K_WM3;M3;#REF!;;;
CITY\0271 YERRES;271;7172;PLACE GAMBETTA;91330;YERRES;33169480444;LV1;04K_WM3;M3;#REF!;;;
CITY\0278 SAINT SERVAN;278;5095;17, RUE VILLE PEPIN;35400;SAINT MALO;33299816219;LV1;04K_WM3;M3;#REF!;;;
CITY\0300 UZES;300;7226;AVENUE DE LA GARE;30700;UZES;33466221013;LV1;03K_WI2;S2;#REF!;;;
CITY\0304 CHELLES;304;7144;3, RUE GAMBETTA;77500;CHELLES;33160207403;LV1;04K_WM3;M3;#REF!;;;
CITY\0307 PARIS 16 MALAKOFF;307;8630+ 24/24 ;142 AVENUE DE MALAKOFF;75116;PARIS;33153640353;LV2;03K_WI2_4SCO-DN;S2;#REF!;;DN;DN
CITY\0313 LANESTER;313;7058;66, AVENUE KESLER DEVILERS;56600;LANESTER;33297761969;LV1;03K_WM3;M3;#REF!;;;
CITY\0316 MENTON;316;7207;35, RUE FELIX FAURE;6500;MENTON;33493575656;LV1;9K_WI2;S2;#REF!;;;
CITY\0323 TOULON BAZEILLES;323;7271;460, BOULEVARD BAZEILLES;83200;TOULON;33494469892;LV1;03K_WM3;M3;#REF!;;;
CITY\0333 COURSEULLES SUR MER;333;5053;59, RUE DE LA MER;14470;COURSEULLES;33231374594;LV1;04K_WM3;M3;#REF!;;;
CITY\0334 LEVALLOIS PERRET - GREFFUHLE;334;7176;26, RUE GREFFUHLE;92300;LEVALLOIS PERRET;33141059060;LV2;04K_WM3;M3;#REF!;;;
CITY\0348 FRONTIGNAN;348;7228;RUE ANATOLE FRANCE;34110;FRONTIGNAN;33467483131;LV1;04K_WM3;M3;#REF!;;;
CITY\0349 MONTPELLIER LAISSAC;349;7232;6, PLACE LAISSAC;34000;MONTPELLIER;33467926046;LV1;05K_WM3_4SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0353 LOUVECIENNES;353;7153;13 ALLEE DES SOUDANES;78340;LOUVECIENNES;33139736480;LV1;04K_WI2;S2;#REF!;;;
CITY\0357 AUCH CENTRE VILLE;357;7378;RUE ALSACE LORRAINE;32001;AUCH;33562612418;LV1;03K_WM3;M3;#REF!;;;
CITY\0362 COLLIOURE;362;7455;18, AVENUE DE LA REPUBLIQUE;66190;COLLIOURE;33468822604;LV1;04K_WM3;M3;#REF!;;;
CITY\0388 AULNAY SOUS BOIS - SARL AULDIS;388;7189;CENTRE COMMERCIAL CAMILLE PELLETAN - 19/21 RUE DUCLOS;93600;AULNAY SOUS BOIS;33148199361;LV1;03K_WM3;M3;#REF!;;;
CITY\0393 COURBEVOIE MARCEAU;393;5265;28 AVENUE MARCEAU;92400;COURBEVOIE;33147883427;LV4;03K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0395 CRETEIL CHERET;395;7190;103/107 RUE CHERET;94000;CRETEIL;33142072315;LV2;05K_WM3;M3;#REF!;;;
CITY\0396 DEUIL LA BARRE;396;7194;67, AVENUE MATHIEU CHAZOTTE;95170;DEUIL LA BARRE;33981781893;LV1;03K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0398 LA FERTE SOUS JOUARRE;398;7146;5 RUE DES PELLETIERS;77260;LA FERTE SOUS JOUARRE;33160228165;LV1;03K_WM3;M3;#REF!;;;
CITY\0406 NEUILLY SUR SEINE ROULE;406;7180;59 AVENUE DU ROULE;92200;NEUILLY SUR SEINE;33146248374;LV4;04K_WM3_BENZ;M3;#REF!;;;
CITY\0407 NEUVES MAISONS;407;7489;26, RUE DU CAPITAINE CAILLON;54230;NEUVES MAISONS;33383472131;LV1;03K_WM3;M3;#REF!;;;
CITY\0412 SAINT MANDE;412;7191;76 RUE CHARLES DE GAULLE;94160;SAINT MANDE;33141740971;LV1;03K_WM3;M3;#REF!;;;
CITY\0413 PARIS 06 293 / 295 VAUGIRARD;413;7126;293/295 RUE DE VAUGIRARD;75015;PARIS;33145335366;LV1;09K_WI2_3SCO-NCR;S2;#REF!;NCR;;NCR
CITY\0417 PARIS 16 REMUSAT;417;7129;6, RUE REMUSAT;75016;PARIS;33145252253;LV2;05K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0420 SURESNES;420;7187;35 AVENUE EDOUARD VAILLANT;92150;SURESNES;33145065233;LV1;05K_WM3;M3;#REF!;;;
CITY\0421 LANNION;421;5059;2 RUE DES AUGUSTINS;22300;LANNION;33296374284;LV1;03K_WM3;M3;#REF!;;;
CITY\0426 VELIZY;426;7157;C.C MOZART - 28 AVENUE DE SAVOIE;78140;VELIZY;33139460451;LV1;05K_WM3;M3;#REF!;;;
CITY\0429 PARIS 07 MOTTE PICQUET - ECOLE MILITAIRE;429;8635+ 24/24;42 AVENUE DE LA MOTTE PICQUET;75007;PARIS;33153591200;LV2;06K_WI2_8SCO-DN;S2;#REF!;;DN;DN
CITY\0433 PARIS 09 ND DE LORETTE;433;7121;8 RUE NOTRE DAME DE LORETTE;75009;PARIS;33148789711;LV1;07K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0441 BREST SIAM;441;7002;41, RUE DU SIAM;29200;BREST;33298806637;LV1;05K_WM3;M3;#REF!;;;
CITY\0446 CHATELAILLON;446;7288;38, BOULEVARD DE LA LIBERATION;17340;CHATELAILLON;33546562080;LV1;03K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0463 LANDERNEAU;463;8902;2, RUE ALAIN DANIEL;29800;LANDERNEAU;33298850284;LV1;04K_WM3;M3;#REF!;;;
CITY\0464 LANDIVISIAU;464;8903;5 ET 7 RUE DE BIDEFORT;29400;LANDIVISIAU;33298681133;LV1;03K_WM3;M3;#REF!;;;
CITY\0468 LORIENT DE GAULLE;468;7060;76, AVENUE DU GENERAL DE GAULLE;56100;LORIENT;33297214551;LV1;03K_WM3;M3;#REF!;;;
CITY\0489 LA TURBALLE;489;5115;PLACE DE LA POSTE;44420;LA TURBALLE;33981830702;LV1;03K_WM3;M3;#REF!;;;
CITY\0491 LES SABLES D OLONNES;491;5224;87, AVENUE A. BRIAND;85100;LES SABLES D OLONNES;33251951008;LV1;03K_WI2;S2;#REF!;;;
CITY\0523 MEYTHET;523;7261;ROUTE DE FRANGY;74960;MEYTHET;33450220586;LV1;02K_WM3;M3;#REF!;;;
CITY\0537 CANNES;537;7206;41 BOULEVARD ALEXANDRE 3;6400;CANNES;33493942626;LV2;05K_WM3_L5000-USB;M3;#REF!;;;
CITY\0562 REUIL JAURES;562;7183;12 PLACE JEAN JAURES;92500;REUIL-MALMAISON;33147517790;LV1;04K_WI2;S2;#REF!;;;
CITY\0575 AURILLAC;575;7216;1, PLACE DU PALAIS DE JUSTICE;15002;AURILLAC;33471488775;KO;KO;KO;#REF!;;;
CITY\0582 THONES;582;7263;PLACE AVET;74230;THONES;33450028506;LV4;03K_WM3;M3;#REF!;;;
CITY\0602 TEMPLEMARS;602;7866;PLACE GUSTAVE DELCROIX;59175;TEMPLEMARS;33320973500;LV1;02K_WM3;M3;#REF!;;;
CITY\0610 BOULOGNE JAURES 27;610;7174;27, BOULEVARD JEAN JAURES;92100;BOULOGNE-BILLANCOURT;33146840898;LV2;04K_WI2_2SCO-NCR_BENZ;S2;#REF!;NCR;;NCR
CITY\0615 DIGNE LES BAINS;615;8687;39, ALLEE DES FONTAINIERS;4000;DIGNE LES BAINS;33492319148;LV2;03K_WM3;M3;#REF!;;;
CITY\0622 AVIGNON;622;8636;23, avenue de la République;84000;AVIGNON;33490394906;LV1;05K_WM3_K6_WI2;M3;#REF!;;;
CITY\0631 VITRY SUR SEINE;631;7192;145, RUE PAUL VAILLANT COUTURIER;94400;VITRY SUR SEINE;33146819135;LV1;06K_WM3_1SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0649 CHEVIGNY - SARL LUMIDIS;649;8708;2 AVENUE DE LA REPUBLIQUE;21800;CHEVIGNY;33380464399;LV1;02K_WM3;M3;#REF!;;;
CITY\0650 PERROS GUIREC;650;7135;5 PLACE DE L'EGLISE;22700;PERROS GUIREC;33296232599;LV1;03K_WM3;M3;#REF!;;;
CITY\0655 BRIANCON;655;7203;22 AVENUE MAURICE PETSCHE;5100;BRIANCON;33492211213;LV1;04K_WI2;S2;#REF!;;;
CITY\0661 ANTIBES;661;7205;44 RUE DE LA REPUBLIQUE;6600;ANTIBES;33493342526;LV1;05K_WI2;S2;#REF!;;;
CITY\0662 LIMOGES VANTAUX;662;5258;45 RUE DE LA CONQUE;87000;LIMOGES;33555508662;LV1;03K_WM3;M3;#REF!;;;
CITY\0671 PARIS 17 LAUGIER;671;7131;85/89 RUE LAUGIER;75017;PARIS;33144404126;LV1;03K_WM3;M3;#REF!;;;
CITY\0672 PLEUMEUR BODOU;672;7136;LES CHARDONS;22560;PLEUMEUR BODOU;33296135681;LV3;03K_WM3;M3;#REF!;;;
CITY\0684 PARIS 16 SAINT DIDIER;684;7130;6 RUE SAINT DIDIER;75016;PARIS;33145533325;LV1;03K_WM3_4SCO-DN;M3;#REF!;;DN;DN
CITY\0686 GUERANDE;686;7023;2 PLACE DU MARCHE DE BOIS;44350;GUERANDE;33240249224;LV1;04K_WM3;M3;#REF!;;;
CITY\0690 POISAT;690;7234;PLACE GEORGES BRASSENS;38320;POISAT;33476000082;LV2;03K_WM3;M3;#REF!;;;
CITY\0702 TOULOUSE FRONTON;702;5346;ROUTE DE FRONTON;31000;TOULOUSE;33561132131;LV1;03K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0717 PARIS 11 MONTMARTRE SAFM;717;7119;9 FAUBOURG MONTMARTRE;75009;PARIS;33147700802;LV1;03K_WM3_4SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0720 LYON 03 LACASSAGNE;720;7250;40 AVENUE LACASSAGNE;69003;LYON;33478531845;LV1;05K_WI2;S2;#REF!;;;
CITY\0721 NICE GAMBETTA;721;7208;136 BIS RUE GAMBETTA;6000;NICE;33489000525;LV1;05K_WM3;M3;#REF!;;;
CITY\0724 CHARLEVILLE;724;8692;15 RUE IRENE CARREE;8000;CHARLEVILLE MEZIERES;33324331861;LV1;05K_WM3;M3;#REF!;;;
CITY\0730 SAINT CHERON;730;7170;7 BIS AVENUE DE DOURDAN;91530;SAINT CHERON;33164563450;LV1;03K_WM3;M3;#REF!;;;
CITY\0739 PARIS 20 PYRENEES;739;7143;57 RUE DES PYRENEES;75020;PARIS;33140090933;LV1;05K_WM3;M3;#REF!;;;
CITY\0759 BORDEAUX GRATELOUP;759;7383;40-42 RUE GRATELOUP - ZAC HOPITAL DES ENFANTS;33000;BORDEAUX;33556910555;LV1;05K_WM3;M3;#REF!;;;
CITY\0770 PARIS 03 TURBIGO;770;7117;53 RUE DE TURBIGO;75003;PARIS;33144788040;LV1;04K_WM3;M3;#REF!;;;
CITY\0771 PARIS 11 ROLLIN;771;8913;142 AVENUE LEDRU ROLLIN;75011;PARIS;33144938000;LV1;03K_WM3;M3;#REF!;;;
CITY\0775 PARIS 02 BONNE NOUVELLE;775;8912;23 BVD BONNE NOUVELLE;75002;PARIS;33140130495;LV1;03K_WM3;M3;#REF!;;;
CITY\0789 PARIS 15 115 VAUGIRARD;789;7127;115 RUE DE VAUGIRARD;75006;PARIS;33140650112;LV1;02K_WM3_1SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0790 AJACCIO;790;8926;10 RUE DU DOCTEUR DEL PELLEGRINO;20000;AJACCIO;33495204629;LV1;03K_WM3;M3;#REF!;;;
CITY\0796 SAINT ETIENNE NOVEMBRE;796;8850;RUE DU 11 NOVEMBRE;42100;SAINT ETIENNE;33477951951;LV1;03K_WI2;S2;#REF!;;;
CITY\0798 PESSAC;798;8851;ESPLANADE CHARLES DE GAULLE;33600;PESSAC;33556165152;LV1;04K_WM3;M3;#REF!;;;
CITY\0800 BORDEAUX BACALANS;800;8875;22 QUAI DES BACALANS;33000;BORDEAUX;33556569799;LV1;03K_WI2;S2;#REF!;;;
CITY\0801 VALENCE;801;8854;164 AVENUE VICTOR HUGO;26000;VALENCE;33475781972;LV1;03K_WI2;S2;#REF!;;;
CITY\0811 MULHOUSE NORFELD;811;8886;74 RUE DU NORFELD;68100;MULHOUSE NORFELD;33389060301;LV1;03K_WI2;S2;#REF!;;;
CITY\0812 SAINT MAUR DES FOSSES;812;8867;3 TER AVENUE DE LA REPUBLIQUE;94100;SAINT MAUR DES FOSSES;33142830520;LV1;03K_WM3;M3;#REF!;;;
CITY\0816 MANDELIEU;816;5555;822 AVENUE JANVIER PASSERO;6210;MANDELIEU;33493492120;LV2;04K_WM3;M3;#REF!;;;
CITY\0822 PARIS FAUBOURG SAINT MARTIN;822;5376;8 RUE DU FAUBOURG SAINT MARTIN;75010;PARIS;33140180509;LV1;02K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0823 PARIS SAINT DOMINIQUE;823;5562;84 RUE SAINT DOMINIQUE;75007;PARIS;33140629210;LV1;04K_WM3_3SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0824 PARIS BUFFAULT;824;5560;9 RUE BUFFAULT;75009;PARIS;33155320010;LV1;03K_WM3;M3;#REF!;;;
CITY\0825 PARIS EMILE ZOLA;825;5561;62/64 RUE EMILE ZOLA;75015;PARIS;33142675741;LV1;03K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0827 LYON CROIX ROUSSE 3 SB;827;5568;4 RUE DU MAIL;69004;LYON;33478986473;LV1;03K_WI2;S2;#REF!;;;
CITY\0828 STRASBOURG SCHLUTFELD;828;8855;6 PLACE DU SCHLUTHFELD;67100;STRASBOURG;33388105300;LV1;04K_WM3;M3;#REF!;;;
CITY\0829 LEVALLOIS LOUISE MICHEL;829;5554;17 RUE LOUISE MICHEL;92300;LEVALLOIS;33147573754;LV2;05K_WM3;M3;#REF!;;;
CITY\0831 MARSEILLE TURCAT;831;5569;7 ALLEE TURCAT MERY;13008;MARSEILLE;33491306308;LV1;04K_WM3;M3;#REF!;;;
CITY\0832 NEVERS;832;5570;12 AVENUE DU GENERAL DE GAULLE;58000;NEVERS;33386212130;LV1;02K_WM3;M3;#REF!;;;
CITY\0833 COURBEVOIE CLEMENCEAU;833;5571;5 BVD GEORGES CLEMENCEAU;92400;COURBEVOIE CLEMENCEAU;;LV1;03K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0834 SAINT ETIENNE CHARLES DE GAULLE;834;5563;31 rue Charles de Gaulle;42100;SAINT ETIENNE;33477302626;LV1;03K_WI2;S2;#REF!;;;
CITY\0835 VALENCIENNES;835;8857;127-129 RUE DE LILLE;59300;VALENCIENNES;33327271369;LV2;02K_WI2;S2;#REF!;;;
CITY\0839 ISSY LES MOULINEAUX;839;8856;22 BVD VOLTAIRE;92130;ISSY LES MOULINEAUX;33141909794;LV1;03K_WM3;M3;#REF!;;;
CITY\0841 CLERMONT BLATIN;841;5578;24 RUE BLATIN;63000;CLERMONT FERRAND;33473309307;LV1;03K_WI2;S2;#REF!;;;
CITY\0842 GRENOBLE BOUCHAYER;842;8942;5-7 SQUARE DES FUSILLES - ZAC BOUCHAYER-VIALLET;38000;GRENOBLE;33476090919;LV1;05K_WM3;M3;#REF!;;;
CITY\0844 LILLE TOURNAI;844;8943;23 RUE DE TOURNA;59800;LILLE;33320120208;LV1;03K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
CITY\0845 CHAMBERY REPUBLIQUE;845;6189;125, RUE REPUBLIQUE;73000;CHAMBERY;33479719061;LV1;03K_WM3;M3;#REF!;;;
CITY\0846 PAU LORRAINE;846;5584;13 BOULEVARD ALSACE LORRAINE;64000;PAU;33559120313;LV1;03K_WI2;S2;#REF!;;;
CITY\0847 CAVAILLON;847;5579;71 COURS VICTOR HUGO;84300;CAVAILLON;33490046274;LV1;03K_WM3;M3;#REF!;;;
CITY\0848 COMPIEGNE AMIENS;848;8853;30 RUE D'AMIENS;60200;COMPIEGNE;33344859388;LV1;03K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0849 MULHOUSE DOLLFUS;849;5587;PLACE FRANCKLIN-RUE ENGEL DOLFUS;68100;MULHOUSE;33389363353;LV1;03K_WI2;S2;#REF!;;;
CITY\0851 VANNES SCHUMAN;851;5583;Rue Robert Schuman;56000;VANNES;33297632314;LV1;04K_WM3;M3;#REF!;;;
CITY\0854 HEROUVILLE;854;5585;14 PROMENADE DES SQUARES;14200;HEROUVILLE SAINT CLAIR;33231545659;LV2;04K_WM3;M3;#REF!;;;
CITY\0858 VILLENEUVE SUR LOT;858;5597;8 COURS VICTOR HUGO;47300;VILLENEUVE SUR LOT;33553703858;LV1;03K_WM3;M3;#REF!;;;
CITY\0861 PARIS CLICHY 175;861;5610;175 AVENUE DE CLICHY;75017;PARIS;33146272817;LV1;04K_WM3;M3;#REF!;;;
CITY\0866 LE RAINCY;866;5618;ROND PONT MONTFERMEIL;93340;LE RAINCY;33143029007;LV1;03K_WM3;M3;#REF!;;;
CITY\0867 PARIS HOPITAL;867;5613;107 BOULEVARD DE L'HOPITAL;75013;PARIS;33144060068;LV1;02K_WM3_2SCO-NCR;M3;#REF!;NCR;;NCR
CITY\0868 MONT DE MARSAN;868;8953;75 RUE LEON GAMBETTA;40000;MONT DE MARSAN;33558446795;LV1;02K_WM3;M3;#REF!;;;
CITY\0869 LAMBERSART;869;5612;173 RUE DE LILLE;59130;LAMBERSART;33320510868;LV1;03K_WM3_L5000-USB;M3;#REF!;;;
CITY\0870 TOURS LES HALLES;870;5616;107 RUE DES HALLES;37000;TOURS;33966962541;LV1;05K_WM3;M3;#REF!;;;
CITY\0871 LA ROCHELLE SCIERIE;871;5617;33 RUE DE LA SCIERIE;17000;LA ROCHELLE;33546270212;LV1;04K_WM3;M3;#REF!;;;
CITY\0873 ONDRES;873;5623;AVENUE DU DOCTEUR LOUIS LESCA;40440;ONDRES;33559150405;LV1;03K_WM3_4SCO-NCR;M3;#REF!;NCR;;NCR
